DATE,Year,Month,Period,평균_검색량
201801상순,2018,1,상순,3.9393275
201801중순,2018,1,중순,15.806717
201801하순,2018,1,하순,17.60815181818182
201802상순,2018,2,상순,7.604026
201802중순,2018,2,중순,3.7901649999999996
201802하순,2018,2,하순,3.9372425
201803상순,2018,3,상순,3.601957
201803중순,2018,3,중순,3.7451149999999997
201803하순,2018,3,하순,3.669182727272727
201804상순,2018,4,상순,3.709408
201804중순,2018,4,중순,3.742111
201804하순,2018,4,하순,3.417085
201805상순,2018,5,상순,3.4457859999999996
201805중순,2018,5,중순,3.514862
201805하순,2018,5,하순,3.4974781818181815
201806상순,2018,6,상순,3.41642
201806중순,2018,6,중순,3.46781
201806하순,2018,6,하순,3.182163
201807상순,2018,7,상순,3.2542400000000002
201807중순,2018,7,중순,3.046679
201807하순,2018,7,하순,5.660464545454546
201808상순,2018,8,상순,3.2005139999999996
201808중순,2018,8,중순,3.1915050000000003
201808하순,2018,8,하순,3.554814545454546
201809상순,2018,9,상순,3.653013
201809중순,2018,9,중순,3.750788
201809하순,2018,9,하순,3.203185
201810상순,2018,10,상순,3.7975049999999997
201810중순,2018,10,중순,4.036435
201810하순,2018,10,하순,4.412425454545454
201811상순,2018,11,상순,4.6427700000000005
201811중순,2018,11,중순,5.397932
201811하순,2018,11,하순,4.990819
201812상순,2018,12,상순,4.506619
201812중순,2018,12,중순,4.540654999999999
201812하순,2018,12,하순,3.71408
201901상순,2019,1,상순,3.673035
201901중순,2019,1,중순,3.777483
201901하순,2019,1,하순,3.796595454545454
201902상순,2019,2,상순,3.352684
201902중순,2019,2,중순,3.734103
201902하순,2019,2,하순,3.53680125
201903상순,2019,3,상순,2.453027
201903중순,2019,3,중순,3.66269
201903하순,2019,3,하순,3.5090063636363635
201904상순,2019,4,상순,3.376377
201904중순,2019,4,중순,3.333663
201904하순,2019,4,하순,3.398399
201905상순,2019,5,상순,3.161473
201905중순,2019,5,중순,3.781821
201905하순,2019,5,하순,3.3579290909090904
201906상순,2019,6,상순,3.201184
201906중순,2019,6,중순,3.179159
201906하순,2019,6,하순,2.891843
201907상순,2019,7,상순,2.90519
201907중순,2019,7,중순,2.849463
201907하순,2019,7,하순,2.778202727272727
201908상순,2019,8,상순,2.95825
201908중순,2019,8,중순,3.4598
201908하순,2019,8,하순,3.3427618181818186
201909상순,2019,9,상순,3.224208
