DATE,품목명,단위,등급명,평균가격,전년,평년
202512하순,무,20키로상자,상,13693.55555555555,23362.22222222222,12993.7962962963
202512중순,무,20키로상자,상,15456.375,23514.55555555555,11281.0
202512상순,무,20키로상자,상,14826.22222222222,25852.5,10618.74074074074
202511하순,무,20키로상자,상,12446.625,29812.66666666667,10064.62037037037
202511중순,무,20키로상자,상,15537.55555555555,20408.11111111111,11586.53240740741
202511상순,무,20키로상자,상,10480.0,18877.375,12079.09259259259
202510하순,무,20키로상자,상,9277.3,22242.9,14663.92222222222
202510중순,무,20키로상자,상,11634.875,25085.375,16294.85648148148
202510상순,무,20키로상자,상,12854.5,24219.77777777778,19168.5787037037
202509하순,무,20키로상자,상,9689.0,20997.875,20290.83664021164
202509중순,무,20키로상자,상,9497.888888888889,24560.16666666667,20249.33796296296
202509상순,무,20키로상자,상,11069.44444444445,22781.25,19774.67592592593
202508하순,무,20키로상자,상,12626.11111111111,28305.5,21880.13333333333
202508중순,무,20키로상자,상,12325.11111111111,25380.375,17119.98611111111
202508상순,무,20키로상자,상,14264.71428571429,19516.625,18642.47023809524
202507하순,무,20키로상자,상,12193.3,18170.44444444445,14638.92222222222
202507중순,무,20키로상자,상,15609.0,18404.55555555555,14154.69444444445
202507상순,무,20키로상자,상,11951.66666666667,16668.77777777778,13415.1712962963
202506하순,무,20키로상자,상,10866.375,14923.25,13338.69444444445
202506중순,무,20키로상자,상,12030.77777777778,14606.33333333333,11901.0787037037
202506상순,무,20키로상자,상,13712.375,15002.75,11778.88888888889
202505하순,무,20키로상자,상,17854.6,17172.0,12162.18518518519
202505중순,무,20키로상자,상,20457.25,16226.625,12733.06018518519
202505상순,무,20키로상자,상,22586.66666666667,16186.0,13216.75
202504하순,무,20키로상자,상,23431.33333333333,16394.5,12523.64351851852
202504중순,무,20키로상자,상,25304.25,13958.55555555555,10976.77314814815
202504상순,무,20키로상자,상,23839.55555555555,13076.0,10328.81018518518
202503하순,무,20키로상자,상,26418.0,13736.88888888889,10853.2
202503중순,무,20키로상자,상,24835.0,12921.22222222222,10023.43518518518
202503상순,무,20키로상자,상,31290.85714285714,11981.625,10853.28240740741
202502하순,무,20키로상자,상,27546.42857142857,13736.5,10715.10119047619
202502중순,무,20키로상자,상,29072.5,11219.57142857143,11216.76455026455
202502상순,무,20키로상자,상,30262.5,11493.5,10819.47222222222
202501하순,무,20키로상자,상,25607.57142857143,11733.77777777778,12384.08068783069
202501중순,무,20키로상자,상,25622.875,8907.333333333334,12106.48148148148
202501상순,무,20키로상자,상,29416.0,9398.714285714286,12386.22222222222
202412하순,무,20키로상자,상,23362.22222222222,11909.88888888889,12993.7962962963
202412중순,무,20키로상자,상,23514.55555555555,10358.66666666667,11281.0
202412상순,무,20키로상자,상,25852.5,8642.375,10618.74074074074
202411하순,무,20키로상자,상,29812.66666666667,7370.0,10064.62037037037
202411중순,무,20키로상자,상,20408.11111111111,7195.75,11586.53240740741
202411상순,무,20키로상자,상,18877.375,7743.888888888889,12079.09259259259
202410하순,무,20키로상자,상,22242.9,9058.777777777777,14105.16296296296
202410중순,무,20키로상자,상,25085.375,11674.33333333333,15107.36111111111
202410상순,무,20키로상자,상,24219.77777777778,12624.125,17857.83796296296
202409하순,무,20키로상자,상,20997.875,14957.85714285714,17399.75330687831
202409중순,무,20키로상자,상,24560.16666666667,14055.22222222222,15698.37764550264
202409상순,무,20키로상자,상,22781.25,12926.0,16199.59259259259
202408하순,무,20키로상자,상,28305.5,19546.4,17468.5037037037
202408중순,무,20키로상자,상,25380.375,17203.625,13735.24537037037
202408상순,무,20키로상자,상,19516.625,22525.5,16391.83333333333
202407하순,무,20키로상자,상,18170.44444444445,14679.22222222222,12185.00740740741
202407중순,무,20키로상자,상,18404.55555555555,12313.77777777778,11024.09259259259
202407상순,무,20키로상자,상,16668.77777777778,9648.5,11242.12962962963
202406하순,무,20키로상자,상,14923.25,12797.22222222222,11559.47222222222
202406중순,무,20키로상자,상,14606.33333333333,11046.5,10375.46296296296
202406상순,무,20키로상자,상,15002.75,10586.66666666667,10300.48148148148
202405하순,무,20키로상자,상,17172.0,13327.33333333333,10272.07407407407
202405중순,무,20키로상자,상,16226.625,17290.66666666667,10341.18518518519
202405상순,무,20키로상자,상,16186.0,16834.11111111111,11075.26851851852
202404하순,무,20키로상자,상,16394.5,16080.375,10255.93518518518
202404중순,무,20키로상자,상,13958.55555555555,13809.88888888889,9137.018518518516
202404상순,무,20키로상자,상,13076.0,14078.5,8458.51388888889
202403하순,무,20키로상자,상,13736.88888888889,12458.6,9094.296296296297
202403중순,무,20키로상자,상,12921.22222222222,11865.125,8804.356481481482
202403상순,무,20키로상자,상,11981.625,12000.55555555555,9524.032407407409
202402하순,무,20키로상자,상,13736.5,11477.85714285714,9692.767857142857
202402중순,무,20키로상자,상,11219.57142857143,13987.0,10350.35185185185
202402상순,무,20키로상자,상,11493.5,12478.77777777778,10021.26851851852
202401하순,무,20키로상자,상,11733.77777777778,12780.71428571429,12315.96957671958
202401중순,무,20키로상자,상,8907.333333333334,10849.66666666667,12106.48148148148
202401상순,무,20키로상자,상,9398.714285714286,10864.42857142857,12386.22222222222
202312하순,무,20키로상자,상,11909.88888888889,12959.2,12606.56666666667
202312중순,무,20키로상자,상,10358.66666666667,11222.5,11281.0
202312상순,무,20키로상자,상,8642.375,11416.11111111111,10618.74074074074
202311하순,무,20키로상자,상,7370.0,10350.11111111111,10064.62037037037
202311중순,무,20키로상자,상,7195.75,11933.375,11586.53240740741
202311상순,무,20키로상자,상,7743.888888888889,13996.33333333333,12079.09259259259
202310하순,무,20키로상자,상,9058.777777777777,21770.77777777778,14105.16296296296
202310중순,무,20키로상자,상,11674.33333333333,22464.11111111111,15326.5462962963
202310상순,무,20키로상자,상,12624.125,34129.25,18853.53703703703
202309하순,무,20키로상자,상,14957.85714285714,31412.0,19641.46759259259
202309중순,무,20키로상자,상,14055.22222222222,25497.71428571429,18304.15542328042
202309상순,무,20키로상자,상,12926.0,28908.25,19499.46759259259
202308하순,무,20키로상자,상,19546.4,22757.55555555555,18731.85185185186
202308중순,무,20키로상자,상,17203.625,20734.88888888889,14881.24537037037
202308상순,무,20키로상자,상,22525.5,22569.33333333333,16406.44444444444
202307하순,무,20키로상자,상,14679.22222222222,21599.22222222222,14251.56296296296
202307중순,무,20키로상자,상,12313.77777777778,18460.44444444445,11753.27777777778
202307상순,무,20키로상자,상,9648.5,16167.625,11786.00462962963
202306하순,무,20키로상자,상,12797.22222222222,14488.11111111111,11104.47222222222
202306중순,무,20키로상자,상,11046.5,13381.625,10296.33333333333
202306상순,무,20키로상자,상,10586.66666666667,13693.22222222222,11140.30092592593
202305하순,무,20키로상자,상,13327.33333333333,14167.22222222222,10229.96296296296
202305중순,무,20키로상자,상,17290.66666666667,13568.66666666667,10341.18518518519
202305상순,무,20키로상자,상,16834.11111111111,13589.25,11075.26851851852
202304하순,무,20키로상자,상,16080.375,11303.77777777778,10255.93518518518
202304중순,무,20키로상자,상,13809.88888888889,9411.555555555555,9137.018518518516
202304상순,무,20키로상자,상,14078.5,9745.875,8458.51388888889
202303하순,무,20키로상자,상,12458.6,9968.0,9094.296296296297
202303중순,무,20키로상자,상,11865.125,9714.625,8804.356481481482
202303상순,무,20키로상자,상,12000.55555555555,10466.22222222222,9524.03240740741
202302하순,무,20키로상자,상,11477.85714285714,11499.57142857143,9700.005952380954
202302중순,무,20키로상자,상,13987.0,10841.5,10350.35185185185
202302상순,무,20키로상자,상,12478.77777777778,10062.66666666667,10021.26851851852
202301하순,무,20키로상자,상,12780.71428571429,12637.75,11581.10185185185
202301중순,무,20키로상자,상,10849.66666666667,11261.22222222222,11576.55555555556
202301상순,무,20키로상자,상,10864.42857142857,10840.57142857143,11859.26984126984
202212하순,무,20키로상자,상,12959.2,10748.2,0.0
202212중순,무,20키로상자,상,11222.5,10597.75,0.0
202212상순,무,20키로상자,상,11416.11111111111,11457.66666666667,0.0
202211하순,무,20키로상자,상,10350.11111111111,11107.375,0.0
202211중순,무,20키로상자,상,11933.375,12581.11111111111,0.0
202211상순,무,20키로상자,상,13996.33333333333,10744.44444444445,0.0
202210하순,무,20키로상자,상,21770.77777777778,10916.88888888889,0.0
202210중순,무,20키로상자,상,22464.11111111111,8729.555555555555,0.0
202210상순,무,20키로상자,상,34129.25,7584.5,0.0
202209하순,무,20키로상자,상,31412.0,8076.333333333332,0.0
202209중순,무,20키로상자,상,25497.71428571429,10187.14285714286,0.0
202209상순,무,20키로상자,상,28908.25,9531.0,0.0
202208하순,무,20키로상자,상,22757.55555555555,10101.55555555555,0.0
202208중순,무,20키로상자,상,20734.88888888889,10580.66666666667,0.0
202208상순,무,20키로상자,상,22569.33333333333,13885.28571428571,0.0
202207하순,무,20키로상자,상,21599.22222222222,11067.1,0.0
202207중순,무,20키로상자,상,18460.44444444445,9012.75,0.0
202207상순,무,20키로상자,상,16167.625,12564.0,0.0
202206하순,무,20키로상자,상,14488.11111111111,9150.444444444445,0.0
202206중순,무,20키로상자,상,13381.625,8435.75,0.0
202206상순,무,20키로상자,상,13693.22222222222,9258.0,0.0
202205하순,무,20키로상자,상,14167.22222222222,8496.888888888889,0.0
202205중순,무,20키로상자,상,13568.66666666667,8165.222222222222,0.0
202205상순,무,20키로상자,상,13589.25,9051.875,0.0
202204하순,무,20키로상자,상,11303.77777777778,8946.333333333334,0.0
202204중순,무,20키로상자,상,9411.555555555555,8290.625,0.0
202204상순,무,20키로상자,상,9745.875,7465.111111111111,0.0
202203하순,무,20키로상자,상,9968.0,7181.888888888889,0.0
202203중순,무,20키로상자,상,9714.625,8207.888888888889,0.0
202203상순,무,20키로상자,상,10466.22222222222,7826.111111111111,0.0
202202하순,무,20키로상자,상,11499.57142857143,7570.666666666668,0.0
202202중순,무,20키로상자,상,10841.5,8339.714285714286,0.0
202202상순,무,20키로상자,상,10062.66666666667,9098.888888888889,0.0
202201하순,무,20키로상자,상,12637.75,11529.44444444445,0.0
202201중순,무,20키로상자,상,11261.22222222222,14208.55555555555,0.0
202201상순,무,20키로상자,상,10840.57142857143,15453.66666666667,0.0
202112하순,무,20키로상자,상,10748.2,14112.3,0.0
202112중순,무,20키로상자,상,10597.75,12022.75,0.0
202112상순,무,20키로상자,상,11457.66666666667,8982.444444444445,0.0
202111하순,무,20키로상자,상,11107.375,8736.375,0.0
202111중순,무,20키로상자,상,12581.11111111111,10245.11111111111,0.0
202111상순,무,20키로상자,상,10744.44444444445,11496.5,0.0
202110하순,무,20키로상자,상,10916.88888888889,11304.1,0.0
202110중순,무,20키로상자,상,8729.555555555555,14746.125,0.0
202110상순,무,20키로상자,상,7584.5,20661.83333333333,0.0
202109하순,무,20키로상자,상,8076.333333333332,24916.77777777778,0.0
202109중순,무,20키로상자,상,10187.14285714286,22132.625,0.0
202109상순,무,20키로상자,상,9531.0,23616.77777777778,0.0
202108하순,무,20키로상자,상,10101.55555555555,23336.44444444445,0.0
202108중순,무,20키로상자,상,10580.66666666667,13421.44444444445,0.0
202108상순,무,20키로상자,상,13885.28571428571,12764.71428571429,0.0
202107하순,무,20키로상자,상,11067.1,10808.7,0.0
202107중순,무,20키로상자,상,9012.75,11745.75,0.0
202107상순,무,20키로상자,상,12564.0,11513.88888888889,0.0
202106하순,무,20키로상자,상,9150.444444444445,12730.75,0.0
202106중순,무,20키로상자,상,8435.75,11275.11111111111,0.0
202106상순,무,20키로상자,상,9258.0,11056.77777777778,0.0
202105하순,무,20키로상자,상,8496.888888888889,8992.0,0.0
202105중순,무,20키로상자,상,8165.222222222222,8403.888888888889,0.0
202105상순,무,20키로상자,상,9051.875,9875.0,0.0
202104하순,무,20키로상자,상,8946.333333333334,10186.77777777778,0.0
202104중순,무,20키로상자,상,8290.625,9708.875,0.0
202104상순,무,20키로상자,상,7465.111111111111,8164.555555555556,0.0
202103하순,무,20키로상자,상,7181.888888888889,10133.0,0.0
202103중순,무,20키로상자,상,8207.888888888889,8490.555555555555,0.0
202103상순,무,20키로상자,상,7826.111111111111,10112.0,0.0
202102하순,무,20키로상자,상,7570.666666666668,9167.875,0.0
202102중순,무,20키로상자,상,8339.714285714286,11589.22222222222,0.0
202102상순,무,20키로상자,상,9098.888888888889,10902.25,0.0
202101하순,무,20키로상자,상,11529.44444444445,17105.875,0.0
202101중순,무,20키로상자,상,14208.55555555555,19378.125,0.0
202101상순,무,20키로상자,상,15453.66666666667,25478.85714285714,0.0
202012하순,무,20키로상자,상,14112.3,24146.33333333333,0.0
202012중순,무,20키로상자,상,12022.75,25629.11111111111,0.0
202012상순,무,20키로상자,상,8982.444444444445,22651.625,0.0
