DATE,Year,Month,Period,평균_최저기온,평균_최고기온,총_강수량,평균_풍속,평균_상대습도,평균_일사량,평균_지면온도,평균_최저초상온도
201801상순,2018,1,상순,-13.0,-2.04,0.0,4.56,56.85,9.19,-5.67,-14.15
201801중순,2018,1,중순,-9.82,-1.15,1.8,4.39,62.78,8.46,-4.59,-14.02
201801하순,2018,1,하순,-17.19,-6.14,2.5,4.98,50.65,11.65,-8.3,-17.9
201802상순,2018,2,상순,-17.26,-4.64,0.0,4.3,53.93,12.82,-8.37,-21.65
201802중순,2018,2,중순,-10.96,-0.51,0.0,6.07,43.84,13.05,-4.71,-14.8
201802하순,2018,2,하순,-8.11,2.28,43.2,3.72,67.29,11.52,-1.5,-12.28
201803상순,2018,3,상순,-8.38,2.66,40.5,3.96,77.39,11.93,0.39,-2.41
201803중순,2018,3,중순,-3.43,7.58,24.9,4.65,68.87,11.62,1.9,-0.91
201803하순,2018,3,하순,-0.71,11.48,7.5,4.37,60.77,19.05,5.16,-2.68
201804상순,2018,4,상순,0.55,10.15,32.9,4.82,71.55,15.22,5.48,-1.74
201804중순,2018,4,중순,1.5,14.93,27.2,4.09,53.58,20.52,9.01,-2.47
201804하순,2018,4,하순,4.02,16.5,68.6,3.88,55.19,19.32,10.87,0.23
201805상순,2018,5,상순,4.41,14.08,47.2,4.32,78.77,13.32,10.71,3.3
201805중순,2018,5,중순,8.35,18.67,146.1,3.85,77.05,15.58,15.22,6.21
201805하순,2018,5,하순,7.57,21.41,9.7,3.36,67.96,25.18,18.73,3.61
201806상순,2018,6,상순,10.51,23.82,13.5,2.47,70.42,22.25,23.47,8.43
201806중순,2018,6,중순,10.41,18.89,6.9,2.35,85.34,16.98,19.37,9.61
201806하순,2018,6,하순,14.48,25.63,63.1,3.27,72.04,21.03,24.06,13.5
201807상순,2018,7,상순,14.46,19.34,210.9,2.44,96.36,9.28,19.09,15.37
201807중순,2018,7,중순,19.41,28.28,7.1,4.03,77.93,24.2,26.47,18.17
201807하순,2018,7,하순,19.33,29.54,10.0,2.42,82.64,20.16,28.96,19.26
201808상순,2018,8,상순,19.34,28.28,108.2,2.13,87.71,19.31,27.82,19.67
201808중순,2018,8,중순,16.3,25.25,126.2,1.97,89.28,17.02,23.93,16.8
201808하순,2018,8,하순,16.83,23.25,308.2,3.49,89.87,10.47,21.68,17.07
201809상순,2018,9,상순,11.51,20.4,101.4,3.08,84.47,14.62,19.31,12.75
201809중순,2018,9,중순,11.0,19.1,44.9,1.72,92.36,9.4,17.71,10.05
201809하순,2018,9,하순,6.62,16.6,49.1,2.51,83.21,11.85,13.74,5.17
201810상순,2018,10,상순,4.92,14.92,98.2,3.59,80.91,11.33,11.82,2.88
201810중순,2018,10,중순,0.53,12.52,49.7,2.31,80.65,11.58,8.33,-1.82
201810하순,2018,10,하순,-0.64,11.5,10.5,3.98,70.08,10.5,5.52,-3.17
201811상순,2018,11,상순,0.04,13.2,45.7,2.5,78.19,8.92,5.88,-1.83
201811중순,2018,11,중순,-2.42,8.3,1.2,2.16,75.96,6.65,3.39,-4.48
201811하순,2018,11,하순,-5.69,4.81,3.5,3.59,63.02,7.17,-0.43,-6.74
201812상순,2018,12,상순,-8.84,2.75,19.2,3.3,67.79,6.68,-2.18,-9.45
201812중순,2018,12,중순,-10.5,-0.24,1.8,4.01,64.36,6.85,-2.18,-7.32
201812하순,2018,12,하순,-12.82,-0.19,0.0,3.72,48.41,8.4,-5.92,-16.39
201901상순,2019,1,상순,-13.61,-1.11,0.0,4.05,44.68,8.49,-6.65,-18.49
201901중순,2019,1,중순,-10.58,1.17,0.0,3.6,62.63,7.94,-4.24,-14.4
201901하순,2019,1,하순,-12.06,1.21,0.5,4.65,50.83,9.54,-4.49,-17.41
201902상순,2019,2,상순,-9.79,1.15,10.1,4.07,56.13,9.67,-2.44,-12.79
201902중순,2019,2,중순,-10.16,-0.13,6.6,3.7,61.62,10.65,-3.04,-13.87
201902하순,2019,2,하순,-7.16,6.24,0.0,1.68,72.47,15.81,0.77,-9.16
201903상순,2019,3,상순,-3.99,8.41,6.2,1.98,67.78,14.54,2.1,-6.94
201903중순,2019,3,중순,-4.24,7.1,28.1,3.75,65.6,15.37,1.52,-5.47
201903하순,2019,3,하순,-2.53,6.35,14.2,4.68,74.75,15.69,2.99,-3.95
201904상순,2019,4,상순,-3.27,8.93,33.7,3.55,57.89,20.06,4.37,-5.19
201904중순,2019,4,중순,-0.83,13.62,0.3,3.28,57.33,20.49,7.82,-3.56
201904하순,2019,4,하순,3.54,14.4,25.9,2.11,82.62,16.18,12.11,2.01
201905상순,2019,5,상순,2.72,20.18,0.0,2.92,48.83,26.82,15.74,-0.35
201905중순,2019,5,중순,7.19,21.3,3.6,2.36,68.56,20.22,17.87,4.61
201905하순,2019,5,하순,8.86,23.27,2.0,4.76,50.77,26.5,20.1,5.94
201906상순,2019,6,상순,10.19,22.14,116.6,2.56,72.46,21.55,21.02,8.4
201906중순,2019,6,중순,10.11,21.04,46.9,2.11,84.73,21.56,18.79,9.04
201906하순,2019,6,하순,11.95,22.46,5.0,1.83,85.82,21.15,21.94,10.96
201907상순,2019,7,상순,14.06,21.89,46.0,2.34,84.36,17.51,21.97,13.13
201907중순,2019,7,중순,16.28,22.69,83.7,1.69,90.66,15.3,21.82,15.94
201907하순,2019,7,하순,21.38,26.58,54.1,3.74,88.35,14.95,24.09,20.22
201908상순,2019,8,상순,18.93,27.79,109.4,2.24,87.68,21.16,27.14,18.26
201908중순,2019,8,중순,17.8,24.75,92.4,2.5,89.87,14.39,23.45,16.42
201908하순,2019,8,하순,14.5,24.45,4.0,2.35,83.2,18.98,23.01,13.94
201909상순,2019,9,상순,16.68,23.23,61.4,2.03,92.12,10.27,21.6,16.09
201909중순,2019,9,중순,10.44,19.85,38.8,1.55,90.46,14.53,18.23,9.27
201909하순,2019,9,하순,8.43,20.67,151.3,1.69,89.32,13.79,16.31,6.99
201910상순,2019,10,상순,7.52,17.34,166.2,1.86,88.75,9.7,14.15,5.93
201910중순,2019,10,중순,4.95,14.44,10.3,1.96,89.68,10.86,11.67,3.11
201910하순,2019,10,하순,2.99,14.15,0.4,2.85,80.81,13.31,9.73,0.41
201911상순,2019,11,상순,-0.75,12.5,19.8,1.53,83.13,10.64,6.56,-4.01
201911중순,2019,11,중순,-3.67,7.43,44.9,4.37,70.27,8.68,2.03,-6.8
201911하순,2019,11,하순,-3.49,8.17,13.7,1.61,81.0,9.62,1.98,-5.17
201912상순,2019,12,상순,-8.31,1.25,0.0,4.55,64.8,9.92,-2.9,-10.87
201912중순,2019,12,중순,-6.29,3.87,1.8,3.8,72.9,8.82,-1.52,-8.33
201912하순,2019,12,하순,-9.23,1.47,0.6,2.98,73.84,8.61,-2.99,-10.93
202001상순,2020,1,상순,-8.01,2.06,50.4,3.23,77.74,8.85,-2.7,-9.66
202001중순,2020,1,중순,-9.51,-0.02,0.0,3.1,68.44,10.68,-3.96,-11.14
202001하순,2020,1,하순,-5.28,2.57,35.9,2.12,81.52,7.61,-0.95,-5.21
202002상순,2020,2,상순,-13.63,-0.88,0.0,3.67,66.58,15.26,-1.04,-4.11
202002중순,2020,2,중순,-7.19,4.72,11.3,2.82,75.76,12.94,-0.23,-7.37
202002하순,2020,2,하순,-4.33,3.73,34.2,3.32,79.16,11.36,0.09,-2.79
202003상순,2020,3,상순,-5.75,6.03,16.9,2.57,75.6,16.04,0.59,-5.43
202003중순,2020,3,중순,-4.46,6.69,10.0,5.67,60.22,17.9,1.41,-4.8
202003하순,2020,3,하순,-2.59,12.15,12.2,2.2,73.96,20.02,6.8,-4.86
