DATE,품목명,총반입량,전년,평년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
202512하순,무,4781,4768,4484.0,403,29,0,52,12,4285
202512중순,무,4610,4898,3236.333333333334,372,0,0,26,12,4196
202512상순,무,3891,3650,3348.666666666666,317,3,0,47,7,3520
202511하순,무,3383,3114,2920.0,266,0,1,52,2,3065
202511중순,무,4120,3391,3350.333333333334,343,20,2,34,10,3709
202511상순,무,3667,4620,3928.666666666666,266,20,0,49,4,3329
202510하순,무,6760,6524,5481.666666666667,569,108,3,49,10,6026
202510중순,무,4617,4943,5474.666666666667,371,39,1,0,15,4194
202510상순,무,4404,5374,4938.666666666667,298,54,0,0,3,4051
202509하순,무,6153,6309,5865.0,324,103,0,0,1,5726
202509중순,무,5341,5847,5938.0,471,117,2,12,0,4737
202509상순,무,5701,8243,6785.0,539,112,5,0,7,5037
202508하순,무,4508,6881,5786.666666666668,440,72,12,0,4,3979
202508중순,무,4511,4654,4758.666666666667,436,43,0,0,6,4026
202508상순,무,3579,4925,4212.0,340,43,0,0,0,3197
202507하순,무,5537,4732,4409.333333333333,515,1,12,12,1,4993
202507중순,무,3590,4697,4118.333333333333,266,2,5,0,3,3315
202507상순,무,3800,4528,4049.0,212,0,52,0,2,3534
202506하순,무,3651,4167,4135.666666666667,309,1,0,0,0,3341
202506중순,무,4314,4106,3984.666666666666,325,3,0,0,0,3988
202506상순,무,4248,4107,4452.666666666667,323,0,0,0,4,3919
202505하순,무,5482,5042,4790.0,491,0,21,0,29,4938
202505중순,무,4585,3706,4505.333333333333,495,0,0,0,16,4073
202505상순,무,4614,4296,4145.666666666667,458,0,0,0,6,4149
202504하순,무,5062,4121,4265.0,531,0,0,0,30,4504
202504중순,무,4536,4477,4562.666666666667,390,0,0,0,25,4120
202504상순,무,5932,4967,4679.666666666667,753,0,0,0,17,5162
202503하순,무,5236,4686,5124.333333333333,504,0,14,0,20,4699
202503중순,무,5468,5324,4652.666666666667,636,9,0,0,60,4762
202503상순,무,4680,4631,4937.0,499,0,0,0,34,4146
202502하순,무,3870,3770,4045.666666666666,381,0,0,0,24,3464
202502중순,무,5139,3428,3706.666666666666,606,0,0,6,79,4449
202502상순,무,3911,5608,4856.666666666667,359,0,4,0,57,3490
202501하순,무,4565,4773,4650.333333333333,377,15,4,0,109,4061
202501중순,무,5488,4660,5153.666666666667,457,0,0,0,73,4955
202501상순,무,4969,4738,4275.0,486,0,0,1,21,4460
202412하순,무,4768,4412,4381.0,362,2,20,0,64,4323
202412중순,무,4898,3562,3194.0,351,2,0,0,48,4499
202412상순,무,3650,3306,3143.0,288,5,0,0,57,3298
202411하순,무,3114,3331,2710.0,254,8,0,0,17,2837
202411중순,무,3391,2653,3122.0,187,8,0,0,86,3110
202411상순,무,4620,3685,3811.0,176,14,0,10,81,4336
202410하순,무,6524,5164,5008.0,339,39,0,0,138,6008
202410중순,무,4943,5528,5474.666666666667,156,39,1,10,150,4587
202410상순,무,5374,5298,4712.666666666667,281,21,2,0,203,4866
202409하순,무,6309,6099,5280.333333333333,354,11,2,0,169,5773
202409중순,무,5847,6647,5517.333333333333,254,6,0,0,156,5435
202409상순,무,8243,6173,6348.0,358,3,0,1,180,7700
202408하순,무,6881,5868,5626.0,406,0,2,0,137,6339
202408중순,무,4654,4635,4690.333333333333,255,0,5,0,96,4299
202408상순,무,4925,5141,3873.333333333334,273,0,0,0,124,4524
202407하순,무,4732,4296,4210.333333333333,237,0,0,0,100,4396
202407중순,무,4697,3941,4083.666666666666,316,0,0,0,1,4380
202407상순,무,4528,3669,3888.666666666666,223,0,5,0,12,4288
202406하순,무,4167,4879,3997.666666666666,162,0,17,0,65,3925
202406중순,무,4106,4056,3984.666666666666,187,0,5,0,32,3880
202406상순,무,4107,4492,4452.666666666667,261,0,2,0,40,3806
202405하순,무,5042,5382,4903.333333333333,289,0,0,0,112,4641
202405중순,무,3706,4251,4505.333333333333,293,0,0,0,136,3279
202405상순,무,4296,4721,4164.666666666667,285,0,0,0,158,3855
202404하순,무,4121,3815,4163.0,214,0,0,0,96,3811
202404중순,무,4477,4824,4541.0,246,0,0,0,69,4162
202404상순,무,4967,3769,4679.666666666667,347,0,5,27,125,4463
202403하순,무,4686,5465,5124.333333333333,351,0,9,47,154,4122
202403중순,무,5324,3994,4616.333333333333,483,0,17,76,213,4536
202403상순,무,4631,5058,4859.0,334,0,35,82,115,4065
202402하순,무,3770,3744,4037.0,302,0,27,34,153,3254
202402중순,무,3428,3749,4078.333333333334,179,0,4,45,94,3102
202402상순,무,5608,5245,4134.0,354,0,4,42,173,5031
202401하순,무,4773,2188,5009.0,315,0,12,53,156,4234
202401중순,무,4660,5115,5153.666666666667,231,0,0,47,204,4176
202401상순,무,4738,4106,4275.0,391,0,12,62,209,4062
202312하순,무,4412,4475,4193.0,246,0,0,93,152,3922
202312중순,무,3562,2804,3194.0,280,0,0,83,140,3059
202312상순,무,3306,3749,2969.666666666666,149,0,2,60,78,3017
202311하순,무,3331,0,0.0,136,0,1,33,113,3046
202311중순,무,2653,0,0.0,125,0,1,29,40,2458
202311상순,무,3685,0,0.0,256,0,4,55,85,3285
202310하순,무,5164,4721,5331.0,328,0,53,61,95,4630
202310중순,무,5528,5699,5513.0,388,0,0,80,82,4977
202310상순,무,5298,4976,4712.666666666667,447,0,0,93,153,4606
202309하순,무,6099,5187,4709.0,327,0,0,134,198,5439
202309중순,무,6647,4585,5517.333333333333,395,0,13,99,145,5995
202309상순,무,6173,7733,6043.333333333332,439,0,24,72,125,5512
202308하순,무,5868,6129,5412.333333333333,484,0,20,124,119,5122
202308중순,무,4635,5290,4561.333333333333,276,0,6,72,105,4177
202308상순,무,5141,4199,3873.333333333334,221,0,0,39,77,4805
202307하순,무,4296,4200,4245.0,206,0,1,50,62,3977
202307중순,무,3941,4369,4182.666666666667,241,0,2,26,82,3589
202307상순,무,3669,3229,3936.666666666666,266,0,2,38,89,3275
202306하순,무,4879,4165,3997.666666666666,325,0,66,91,110,4292
202306중순,무,4056,3905,4033.666666666666,288,0,2,61,156,3550
202306상순,무,4492,4816,4427.666666666667,324,0,55,48,125,3940
202305하순,무,5382,4556,4906.0,373,0,84,54,188,4687
202305중순,무,4251,4608,4375.0,253,0,0,125,173,3704
202305상순,무,4721,4173,4164.666666666667,301,0,0,139,248,4035
202304하순,무,3815,4264,4083.333333333334,250,0,0,102,65,3401
202304중순,무,4824,4886,4282.666666666667,299,0,8,137,82,4298
202304상순,무,3769,4710,4679.666666666667,277,0,0,101,83,3309
202303하순,무,5465,5683,4857.333333333333,364,0,14,139,200,4747
202303중순,무,3994,4537,4616.333333333333,305,0,0,80,172,3437
202303상순,무,5058,5122,4626.666666666667,366,0,0,138,169,4386
202302하순,무,3744,4318,3929.333333333334,296,0,0,106,123,3220
202302중순,무,3749,3943,3995.333333333334,249,0,0,118,99,3284
202302상순,무,5245,3440,4353.333333333333,436,0,13,120,157,4525
202301하순,무,2188,5849,5009.0,138,0,4,77,77,1890
202301중순,무,5115,5027,4771.333333333333,419,6,41,115,220,4317
202301상순,무,4106,3994,4303.666666666667,371,0,20,73,174,3465
202212하순,무,4475,4256,4011.666666666666,321,0,16,81,185,3873
202212중순,무,2804,3343,0.0,245,0,1,31,45,2483
202212상순,무,3749,3033,0.0,203,0,0,125,22,3400
202211하순,무,2363,2548,2802.0,132,0,2,36,84,2107
